Date,Asset1,Asset2,Asset3,Asset4
2020-02-10,-0.0084163025,-0.0054800692,0.0043372142,0.0033766082
2020-02-11,-0.0085616166,-0.0055784935,0.0037102413,0.0036649283
2020-02-12,-0.0085986044,-0.0056481250,0.0030754944,0.0038947734
2020-02-13,-0.0085268188,-0.0056886226,0.0024345601,0.0040622648
2020-02-14,-0.0083471276,-0.0056997880,0.0017890403,0.0041645758
2020-02-15,-0.0080617029,-0.0056815663,0.0011405486,0.0041999797
2020-02-16,-0.0076739947,-0.0056340470,0.0004907058,0.0041678791
2020-02-17,-0.0071886897,-0.0055574627,-0.0001588639,0.0040688158
2020-02-18,-0.0066116541,-0.0054521885,-0.0008065367,0.0039044615
2020-02-19,-0.0059498629,-0.0053187401,-0.0014506940,0.0036775900
2020-02-20,-0.0052113159,-0.0051577712,-0.0020897256,0.0033920298
2020-02-21,-0.0044049404,-0.0049700700,-0.0027220343,0.0030526004
2020-02-22,-0.0035404837,-0.0047565561,-0.0033460397,0.0026650298
2020-02-23,-0.0026283952,-0.0045182752,-0.0039601820,0.0022358588
2020-02-24,-0.0016797001,-0.0042563944,-0.0045629262,0.0017723303
2020-02-25,-0.0007058660,-0.0039721963,-0.0051527658,0.0012822668
2020-02-26,0.0002813357,-0.0036670730,-0.0057282264,0.0007739387
2020-02-27,0.0012699717,-0.0033425190,-0.0062878698,0.0002559247
2020-02-28,0.0022480917,-0.0030001240,-0.0068302971,-0.0002630331
2020-02-29,0.0032038723,-0.0026415649,-0.0073541526,-0.0007741766
2020-03-01,0.0041257602,-0.0022685981,-0.0078581268,-0.0012688797
2020-03-02,0.0050026119,-0.0018830503,-0.0083409601,-0.0017387937
2020-03-03,0.0058238281,-0.0014868098,-0.0088014456,-0.0021759883
2020-03-04,0.0065794822,-0.0010818176,-0.0092384324,-0.0025730851
2020-03-05,0.0072604398,-0.0006700573,-0.0096508283,-0.0029233827
2020-03-06,0.0078584699,-0.0002535456,-0.0100376024,-0.0032209695
2020-03-07,0.0083663433,0.0001656773,-0.0103977881,-0.0034608233
2020-03-08,0.0087779212,0.0005855582,-0.0107304850,-0.0036388962
2020-03-09,0.0090882285,0.0010040404,-0.0110348617,-0.0037521831
2020-03-10,0.0092935141,0.0014190742,-0.0113101572,-0.0037987722
2020-03-11,0.0093912967,0.0018286268,-0.0115556835,-0.0037778771
2020-03-12,0.0093803942,0.0022306922,-0.0117708270,-0.0036898505
2020-03-13,0.0092609385,0.0026233010,-0.0119550498,-0.0035361779
2020-03-14,0.0090343735,0.0030045303,-0.0121078915,-0.0033194528
2020-03-15,0.0087034379,0.0033725129,-0.0122289702,-0.0030433327
2020-03-16,0.0082721319,0.0037254462,-0.0123179830,-0.0027124775
2020-03-17,0.0077456692,0.0040616018,-0.0123747077,-0.0023324706
2020-03-18,0.0071304135,0.0043793330,-0.0123990023,-0.0019097252
2020-03-19,0.0064338018,0.0046770836,-0.0123908063,-0.0014513756
2020-03-20,0.0056642547,0.0049533953,-0.0123501399,-0.0009651571
2020-03-21,0.0048310744,0.0052069146,-0.0122771050,-0.0004592752
2020-03-22,0.0039443321,0.0054363999,-0.0121718840,0.0000577329
2020-03-23,0.0030147466,0.0056407271,-0.0120347399,0.0005771418
2020-03-24,0.0020535545,0.0058188954,-0.0118660156,0.0010901861
2020-03-25,0.0010723746,0.0059700322,-0.0116661327,0.0015882073
2020-03-26,0.0000830672,0.0060933972,-0.0114355909,0.0020628009
2020-03-27,-0.0009024092,0.0061883861,-0.0111749663,0.0025059575
2020-03-28,-0.0018721424,0.0062545337,-0.0108849105,0.0029101982
2020-03-29,-0.0028144103,0.0062915160,-0.0105661484,0.0032687010
2020-03-30,-0.0037178230,0.0062991518,-0.0102194767,0.0035754158
2020-03-31,-0.0045714604,0.0062774038,-0.0098457620,0.0038251664
2020-04-01,-0.0053650037,0.0062263785,-0.0094459383,0.0040137379
2020-04-02,-0.0060888607,0.0061463258,-0.0090210050,0.0041379479
2020-04-03,-0.0067342817,0.0060376378,-0.0085720242,0.0041957003
2020-04-04,-0.0072934649,0.0059008468,-0.0081001181,0.0041860204
2020-04-05,-0.0077596509,0.0057366229,-0.0076064663,0.0041090716
2020-04-06,-0.0081272048,0.0055457704,-0.0070923025,0.0039661524
2020-04-07,-0.0083916834,0.0053292242,-0.0065589121,0.0037596749
2020-04-08,-0.0085498899,0.0050880448,-0.0060076280,0.0034931235
2020-04-09,-0.0085999119,0.0048234135,-0.0054398283,0.0031709967
2020-04-10,-0.0085411447,0.0045366266,-0.0048569322,0.0027987307
2020-04-11,-0.0083742987,0.0042290887,-0.0042603966,0.0023826080
2020-04-12,-0.0081013907,0.0039023061,-0.0036517126,0.0019296511
2020-04-13,-0.0077257195,0.0035578794,-0.0030324015,0.0014475042
2020-04-14,-0.0072518263,0.0031974956,-0.0024040112,0.0009443043
2020-04-15,-0.0066854392,0.0028229199,-0.0017681126,0.0004285432
2020-04-16,-0.0060334048,0.0024359870,-0.0011262948,-0.0000910747
2020-04-17,-0.0053036046,0.0020385919,-0.0004801622,-0.0006057805
2020-04-18,-0.0045048604,0.0016326813,0.0001686702,-0.0011068877
2020-04-19,-0.0036468272,0.0012202432,0.0008185807,-0.0015859396
2020-04-20,-0.0027398767,0.0008032977,0.0014679449,-0.0020348516
2020-04-21,-0.0017949720,0.0003838871,0.0021151397,-0.0024460477
2020-04-22,-0.0008235349,-0.0000359344,0.0027585474,-0.0028125886
2020-04-23,0.0001626920,-0.0004541105,0.0033965598,-0.0031282885
2020-04-24,0.0011517874,-0.0008685930,0.0040275824,-0.0033878194
2020-04-25,0.0021317954,-0.0012773517,0.0046500377,-0.0035868015
2020-04-26,0.0030908698,-0.0016783845,0.0052623701,-0.0037218767
2020-04-27,0.0040174175,-0.0020697272,0.0058630490,-0.0037907655
2020-04-28,0.0049002386,-0.0024494630,0.0064505730,-0.0037923054
2020-04-29,0.0057286616,-0.0028157319,0.0070234736,-0.0037264702
2020-04-30,0.0064926729,-0.0031667400,0.0075803188,-0.0035943710
2020-05-01,0.0071830371,-0.0035007680,0.0081197169,-0.0033982373
2020-05-02,0.0077914092,-0.0038161798,0.0086403197,-0.0031413790
2020-05-03,0.0083104355,-0.0041114305,0.0091408258,-0.0028281308
2020-05-04,0.0087338420,-0.0043850741,0.0096199843,-0.0024637792
2020-05-05,0.0090565106,-0.0046357702,0.0100765975,-0.0020544732
2020-05-06,0.0092745410,-0.0048622909,0.0105095242,-0.0016071201
2020-05-07,0.0093852977,-0.0050635267,0.0109176822,-0.0011292698
2020-05-08,0.0093874419,-0.0052384919,0.0113000514,-0.0006289863
2020-05-09,0.0092809477,-0.0053863296,0.0116556761,-0.0001147128
2020-05-10,0.0090671023,-0.0055063157,0.0119836673,0.0004048719
2020-05-11,0.0087484906,-0.0055978624,0.0122832052,0.0009209992
2020-05-12,0.0083289641,-0.0056605214,0.0125535413,0.0014249587
2020-05-13,0.0078135938,-0.0056939858,0.0127939997,0.0019082456
2020-05-14,0.0072086094,-0.0056980916,0.0130039795,0.0023627037
2020-05-15,0.0065213238,-0.0056728188,0.0131829557,0.0027806636
2020-05-16,0.0057600449,-0.0056182912,0.0133304812,0.0031550717
2020-05-17,0.0049339749,-0.0055347757,0.0134461870,0.0034796093
2020-05-18,0.0040530990,-0.0054226815,0.0135297841,0.0037487996
2020-05-19,0.0031280652,-0.0052825576,0.0135810635,0.0039580996
2020-05-20,0.0021700551,-0.0051150904,0.0135998970,0.0041039771
2020-05-21,0.0011906489,-0.0049211000,0.0135862374,0.0041839702
2020-05-22,0.0002016855,-0.0047015367,0.0135401191,0.0041967290
2020-05-23,-0.0007848808,-0.0044574759,0.0134616572,0.0041420382
2020-05-24,-0.0017571244,-0.0041901130,0.0133510479,0.0040208206
2020-05-25,-0.0027032931,-0.0039007575,0.0132085675,0.0038351221
2020-05-26,-0.0036119498,-0.0035908266,0.0130345724,0.0035880766
2020-05-27,-0.0044721109,-0.0032618386,0.0128294972,0.0032838531
2020-05-28,-0.0052733788,-0.0029154046,0.0125938547,0.0029275858
2020-05-29,-0.0060060681,-0.0025532216,0.0123282338,0.0025252872
2020-05-30,-0.0066613220,-0.0021770635,0.0120332985,0.0020837466
2020-05-31,-0.0072312201,-0.0017887727,0.0117097858,0.0016104155
2020-06-01,-0.0077088735,-0.0013902512,0.0113585045,0.0011132819
2020-06-02,-0.0080885084,-0.0009834508,0.0109803325,0.0006007356
2020-06-03,-0.0083655359,-0.0005703640,0.0105762150,0.0000814264
2020-06-04,-0.0085366073,-0.0001530142,0.0101471623,-0.0004358818
2020-06-05,-0.0085996547,0.0002665544,0.0096942466,-0.0009424587
2020-06-06,-0.0085539161,0.0006862869,0.0092186000,-0.0014297552
2020-06-07,-0.0083999443,0.0011041274,0.0087214114,-0.0018895476
2020-06-08,-0.0081396005,0.0015180292,0.0082039235,-0.0023140763
2020-06-09,-0.0077760317,0.0019259651,0.0076674298,-0.0026961770
2020-06-10,-0.0073136326,0.0023259370,0.0071132711,-0.0030294012
2020-06-11,-0.0067579926,0.0027159859,0.0065428327,-0.0033081253
2020-06-12,-0.0061158282,0.0030942013,0.0059575403,-0.0035276456
2020-06-13,-0.0053949018,0.0034587308,0.0053588568,-0.0036842573
2020-06-14,-0.0046039277,0.0038077887,0.0047482787,-0.0037753174
2020-06-15,-0.0037524671,0.0041396655,0.0041273320,-0.0037992893
2020-06-16,-0.0028508123,0.0044527356,0.0034975689,-0.0037557683
2020-06-17,-0.0019098624,0.0047454656,0.0028605633,-0.0036454889
2020-06-18,-0.0009409912,0.0050164218,0.0022179075,-0.0034703122
2020-06-19,0.0000440895,0.0052642769,0.0015712078,-0.0032331946
2020-06-20,0.0010334725,0.0054878170,0.0009220805,-0.0029381376
2020-06-21,0.0020151981,0.0056859471,0.0002721483,-0.0025901207
2020-06-22,0.0029773996,0.0058576969,-0.0003769646,-0.0021950172
2020-06-23,0.0039084459,0.0060022251,-0.0010236355,-0.0017594949
2020-06-24,0.0047970829,0.0061188238,-0.0016662482,-0.0012909037
2020-06-25,0.0056325688,0.0062069219,-0.0023031964,-0.0007971517
2020-06-26,0.0064048044,0.0062660879,-0.0029328881,-0.0002865716
2020-06-27,0.0071044551,0.0062960320,-0.0035537495,0.0002322200
2020-06-28,0.0077230636,0.0062966075,-0.0041642287,0.0007504679
