asset1,asset2,asset3
0.0138305352,0.0116130559,-0.0180972908
0.0154727130,0.0039566299,-0.0050999315
-0.0068316023,-0.0117403524,-0.0208788544
-0.0018153291,-0.0022979287,0.0118701136
0.0174492489,0.0225237602,0.0186090820
0.0139686848,0.0126975198,0.0229990929
-0.0170798443,-0.0164045289,-0.0015545753
0.0052384903,0.0098886753,0.0006713211
0.0034256549,0.0132435349,0.0071616615
-0.0116152487,-0.0088939980,0.0112512813
0.0141398256,0.0153056431,0.0106584838
0.0076078903,-0.0052767965,-0.0075790606
0.0159619416,0.0192459555,0.0172945962
0.0011750817,0.0041295941,0.0104627410
-0.0052719759,0.0015877806,-0.0003700289
-0.0006509197,0.0067364754,0.0014945489
-0.0009894812,-0.0163381534,-0.0180573255
-0.0019299812,-0.0067904838,0.0024149513
-0.0063525518,0.0133194349,0.0053844736
0.0090928812,0.0091691364,0.0107862624
-0.0087810679,-0.0105108573,-0.0152359186
-0.0157339436,-0.0120283097,0.0089386269
-0.0174499193,-0.0030418127,-0.0119469674
0.0056397111,0.0043636516,0.0067515320
-0.0105003558,0.0030335671,-0.0042461677
-0.0032115396,-0.0019322973,-0.0143897862
0.0049117385,0.0076637047,0.0047518337
0.0130213939,0.0115841887,0.0054487964
0.0030077557,0.0215188294,0.0083624443
-0.0080823110,0.0199118933,0.0061833143
-0.0038135427,0.0145387141,0.0123368558
-0.0067856592,-0.0135824337,-0.0086679251
0.0025193953,0.0032749388,-0.0026557158
0.0157086461,0.0099109091,0.0013250701
0.0125903171,0.0095637609,-0.0009112011
-0.0090620209,-0.0059239264,0.0021643960
0.0065910256,-0.0032337117,-0.0067096684
0.0097676851,0.0091968353,0.0010451902
-0.0050439171,0.0174990049,-0.0003421326
-0.0199093166,-0.0104906142,0.0019368629
0.0033196376,0.0221814169,0.0067946631
-0.0099795330,0.0190677506,0.0150898494
0.0161447756,0.0380494774,0.0294785255
0.0048109617,-0.0240787196,-0.0119322361
0.0045353975,-0.0018866374,-0.0047121496
0.0016295627,-0.0060888429,0.0037224162
-0.0124430781,-0.0076563714,-0.0107144188
0.0025744010,-0.0046139120,-0.0015421766
-0.0024816517,0.0068980889,-0.0094961529
-0.0000219070,0.0054695815,0.0071135680
0.0000244094,-0.0048059925,0.0005589101
0.0010464063,0.0015904846,0.0009587251
0.0014939938,-0.0056592933,-0.0016122883
-0.0154955589,-0.0058619274,0.0079882092
0.0016593235,0.0006733274,-0.0123287744
0.0193135944,0.0154307452,0.0115749253
0.0072827095,0.0119390861,-0.0089420217
0.0068168127,0.0035057885,0.0026332908
-0.0058730617,-0.0097374309,0.0070432241
-0.0213562006,0.0014034699,-0.0089171572
-0.0149341815,-0.0068338974,-0.0072631320
-0.0163275869,-0.0159900768,0.0049785118
-0.0039131329,0.0112302556,0.0060390120
0.0088517765,-0.0044106337,0.0015361669
0.0196343434,0.0192200675,0.0136914356
-0.0007654583,0.0016990724,0.0008815669
0.0169792035,0.0232411705,0.0195531655
-0.0030139624,0.0169903988,0.0046262204
0.0172763985,0.0061679965,-0.0019470388
-0.0041074734,-0.0100368974,-0.0066742583
-0.0017561017,0.0074845526,0.0064070799
-0.0206523932,-0.0081783926,0.0058870318
-0.0092174684,-0.0114536469,-0.0097171067
0.0137043179,0.0078604531,0.0011015786
-0.0005051842,-0.0042013066,0.0084804063
0.0213211431,0.0001213564,0.0060432684
0.0019844890,-0.0014016190,0.0048243247
-0.0058533475,-0.0069374533,-0.0033993651
-0.0252749077,-0.0122434410,-0.0005812461
0.0191549549,-0.0148735390,0.0051650736
-0.0181071681,0.0082391940,0.0042045001
-0.0032900964,0.0005685107,-0.0048028116
-0.0019229618,0.0002405182,0.0082944034
-0.0108413530,0.0134263535,0.0149412626
-0.0059332411,0.0087288847,0.0049785592
-0.0124657560,0.0074068953,-0.0090359476
0.0091750421,0.0005974530,0.0008096680
0.0074195321,0.0137782958,-0.0060515170
0.0090992479,0.0013692774,0.0004593675
0.0015297293,0.0023152903,-0.0076265556
0.0192400375,0.0305125166,0.0264271531
0.0102822412,-0.0162691881,-0.0061366950
-0.0109132679,-0.0093980380,0.0148970253
-0.0008334429,0.0115025350,0.0141741197
-0.0166120684,-0.0075735882,-0.0110917820
-0.0147719716,-0.0069932412,0.0034109242
0.0072653874,0.0023242373,0.0038498291
0.0093773764,0.0154923994,0.0055153690
0.0116930462,-0.0017547764,0.0022438886
-0.0275992435,-0.0312691975,-0.0082748213
0.0099117489,-0.0069256841,-0.0018120359
-0.0142310187,0.0036704495,0.0067291612
-0.0140788208,-0.0086755879,-0.0014100914
-0.0080131292,0.0137713608,0.0038533211
0.0060758674,0.0148637924,0.0169080856
0.0160813443,0.0144546250,-0.0123471371
0.0013478504,-0.0168380606,-0.0143537819
0.0087879681,-0.0026317196,-0.0148505778
0.0067447970,-0.0094066735,-0.0111922308
0.0056308478,-0.0041619936,-0.0114872573
-0.0102412065,0.0013890099,-0.0015373141
-0.0049361759,0.0054736535,-0.0081375962
-0.0065880295,0.0099527742,0.0016604337
0.0206546371,0.0073854526,0.0059105825
-0.0019383664,0.0048536274,-0.0049943432
-0.0215717169,-0.0019788818,0.0226778253
-0.0004831646,-0.0025096040,0.0012633626
0.0062250093,0.0026548415,-0.0053113220
-0.0093438135,-0.0157695034,0.0058990552
-0.0039169362,0.0061036984,0.0021184461
-0.0042607882,-0.0123304361,0.0004053536
0.0039109014,0.0045279694,-0.0162595374
-0.0089045278,-0.0083055018,0.0036336286
-0.0107781739,-0.0012613386,-0.0154592759
-0.0013263289,-0.0043787443,0.0020202527
0.0104858568,0.0208826171,-0.0111646881
0.0002551449,0.0183850237,0.0166145222
-0.0112628329,-0.0027131366,-0.0013332138
-0.0072769640,-0.0146295319,-0.0048261019
0.0018390853,-0.0172998523,-0.0108333812
-0.0185502848,-0.0087597584,-0.0061678895
-0.0041391578,0.0031098506,-0.0070076111
0.0065523475,0.0158598377,0.0145094960
0.0075581763,0.0048927123,0.0007220292
0.0103737533,0.0003858677,0.0006262358
0.0091387714,0.0030824517,0.0049217667
0.0038916955,-0.0090098583,-0.0041984106
0.0008208842,-0.0002817079,0.0074991391
-0.0030875833,0.0105225862,0.0059861765
0.0057615959,-0.0130198075,-0.0056963640
-0.0004651704,0.0042639132,0.0004977006
-0.0030719947,-0.0028626657,-0.0018109870
0.0033589881,-0.0055983680,-0.0009041873
-0.0081396506,-0.0080694661,-0.0079322504
0.0097846353,0.0091037838,0.0089173414
0.0113195311,0.0119655208,0.0139420178
0.0120789630,-0.0139746727,-0.0085809423
-0.0004239159,0.0014122862,0.0114433603
0.0082850069,0.0090101192,0.0082738502
-0.0065873725,-0.0100081976,-0.0019750453
-0.0118619841,-0.0152687079,0.0038198453
-0.0059207612,-0.0008173270,-0.0097057787
-0.0079383676,-0.0013958221,-0.0030551075
0.0033573250,0.0057192576,-0.0024507991
0.0060709540,0.0190011484,0.0047248860
-0.0029974849,-0.0022133492,-0.0000177368
0.0014934464,0.0126870340,0.0093897993
0.0152315966,0.0065318241,0.0111880475
-0.0028588496,0.0010937579,0.0013233706
0.0003809252,-0.0102076343,-0.0135268131
0.0106329640,-0.0002336665,-0.0079364800
0.0016293326,0.0005686316,-0.0150871719
-0.0025839811,-0.0087180479,0.0071986719
-0.0029511227,-0.0040370277,-0.0073036200
-0.0091645911,-0.0051895716,0.0076825288
-0.0029976384,0.0080338284,0.0123859474
-0.0136747753,0.0155313205,0.0049547683
-0.0021530417,-0.0071325491,-0.0018133576
0.0143480728,0.0215301886,-0.0000178868
0.0009437402,-0.0068420556,-0.0191974395
0.0119488232,-0.0002380418,0.0047802072
0.0126107472,0.0055556976,0.0019221738
0.0052412472,-0.0170831274,-0.0152454070
0.0051796335,0.0079117314,-0.0123424319
-0.0145206308,-0.0041071061,0.0046897990
0.0123134514,-0.0004303067,-0.0058347188
0.0117864672,-0.0048287117,-0.0005324929
0.0101631433,-0.0054029674,-0.0038963643
0.0019678787,0.0014655728,0.0109547659
-0.0065609504,-0.0011153660,0.0155718177
0.0133116787,0.0064955510,0.0047872702
0.0073344302,-0.0035006332,-0.0170876277
0.0022298431,0.0038292681,0.0066074250
0.0011610538,-0.0083263882,-0.0199532722
0.0162817032,0.0019288508,-0.0073607176
0.0051760620,0.0020597735,0.0115978318
-0.0106705848,-0.0028749353,-0.0064793396
-0.0038412220,-0.0041701803,0.0050523645
-0.0206164803,-0.0110055000,-0.0007501013
0.0047367513,0.0048764869,0.0104711882
-0.0021581864,0.0038047849,0.0212869591
-0.0200981467,-0.0023837035,-0.0015785185
0.0040198546,-0.0011709872,-0.0006374318
-0.0059711059,0.0118201976,0.0083694230
0.0003087501,-0.0061738173,-0.0065923632
-0.0137077827,0.0048205561,0.0044331083
0.0049193927,0.0058665055,0.0130877839
0.0013809172,0.0124636024,-0.0055691156
-0.0070302547,0.0011063603,-0.0006379808
0.0085828181,-0.0017296786,0.0047422827
0.0025214844,-0.0095968509,-0.0115862925
-0.0035333438,-0.0085511517,-0.0081406158
0.0105752380,0.0040566894,-0.0077420398
0.0075344896,0.0058768200,-0.0073862637
-0.0007061872,0.0032871705,0.0118117889
-0.0098113408,0.0057161008,0.0041512357
-0.0100126351,0.0049841305,0.0041520749
-0.0166349843,-0.0104489038,-0.0218900060
0.0076510088,0.0192442015,0.0070458111
-0.0107791862,-0.0127210059,-0.0013815298
-0.0099114357,-0.0111923402,-0.0015706093
-0.0082636570,0.0033708615,-0.0048347302
0.0014303518,0.0153180291,0.0121870111
0.0001394741,-0.0005976003,-0.0094082853
0.0039469606,0.0091634970,-0.0014159294
0.0166225935,0.0191166819,-0.0019969722
0.0049453762,-0.0003422422,-0.0189372923
0.0020002185,0.0057091743,-0.0045721297
-0.0030986556,0.0107606364,0.0109281658
0.0023202255,-0.0088853177,-0.0000984704
0.0091735510,0.0249272389,0.0006904083
-0.0056518762,-0.0022668373,-0.0119543240
0.0060703047,-0.0101943666,0.0048245709
-0.0012712683,-0.0121290110,-0.0033550868
-0.0035450264,-0.0014928061,-0.0067056091
0.0007915463,-0.0032222935,-0.0057847657
0.0033530063,0.0026500739,0.0000911328
0.0125761278,0.0097561079,-0.0013543718
0.0071755704,-0.0120860711,0.0051912541
0.0033142106,0.0423099400,0.0078949364
-0.0051915962,-0.0126547181,0.0054999727
0.0024648382,-0.0050436094,0.0077788907
-0.0076332957,-0.0170909147,-0.0011561642
0.0036070736,0.0174201725,0.0047304878
0.0081151152,0.0274677827,-0.0021518771
-0.0175102613,-0.0189286259,0.0009792047
0.0087564321,0.0177458248,0.0111430500
0.0020360166,0.0154912265,-0.0067480211
0.0123250067,0.0237749379,0.0024782609
-0.0017703875,0.0146319084,0.0032132619
0.0047043968,-0.0040402678,0.0067942231
0.0070400410,0.0093439997,0.0015360246
-0.0054360240,-0.0122753077,0.0031411571
0.0027763590,-0.0129979757,0.0011256586
-0.0101157089,-0.0107065431,0.0021045695
-0.0012802028,0.0069808185,-0.0044670081
-0.0083585550,-0.0039282612,0.0057394147
0.0054732990,-0.0079251873,0.0053231704
0.0026997173,0.0162199034,0.0042217722
-0.0031857214,-0.0011655818,0.0057796875
-0.0071285782,-0.0016733283,0.0116929041
-0.0035533145,-0.0049768603,-0.0067722172
-0.0022391726,0.0049145503,0.0004809729
-0.0000472149,0.0192612580,0.0045875216
-0.0012125218,0.0029394535,-0.0029088437
-0.0063046540,-0.0013001387,-0.0045576652
0.0003500372,0.0105624451,0.0015423329
-0.0020819690,-0.0127288314,-0.0063981450
0.0053548960,-0.0089629661,-0.0070991030
0.0043341782,-0.0027575933,-0.0064051225
-0.0020567139,0.0226976326,0.0013177192
-0.0011750521,-0.0182434306,0.0064894202
-0.0000465045,0.0120974044,-0.0011992048
0.0033995227,-0.0007605106,-0.0121772776
0.0006495709,0.0134955905,0.0004034327
0.0018636111,-0.0109159376,0.0032758171
-0.0078453038,-0.0351329383,-0.0162873816
0.0068933362,-0.0157744836,-0.0005379475
0.0111534752,-0.0047826335,0.0032052053
0.0161975378,0.0284031764,0.0159704465
0.0126447874,-0.0017004718,0.0029881357
-0.0014354038,0.0011847866,0.0030566547
-0.0019860051,-0.0074129274,0.0096379321
0.0015770591,0.0122044323,0.0002996938
-0.0030983189,0.0048625742,-0.0096000199
-0.0082379150,-0.0160037629,-0.0178559756
0.0054094315,0.0114729315,0.0046546052
0.0048695794,-0.0063080470,0.0029383234
0.0129267883,-0.0012445080,-0.0035296503
-0.0079973653,-0.0221415236,-0.0093012246
0.0008098743,0.0068329725,0.0031759028
0.0029098789,0.0092209663,0.0060112302
-0.0146209985,-0.0177630780,0.0071086452
-0.0097753934,-0.0059257536,-0.0090352147
-0.0067083582,-0.0127918955,-0.0129650000
-0.0027995433,0.0043059913,-0.0106413367
0.0134633670,-0.0009015184,0.0041242527
-0.0041118072,0.0092293312,0.0035446592
0.0100112837,0.0119111614,0.0075499001
